# Regal (regmovies.com) theatre code -> our Cinema display name.
# Built from Regal's own roster (GET /api/theatres) matched to data/us/venues.json
# by venue coordinates + name tokens, then cross-checked against the theatre slug
# in https://www.regmovies.com/sitemap.xml (/theatres/<slug>-<code>). 394 of 396
# geo matches agreed with the sitemap slug independently; the rest were confirmed
# one by one. Recorded 2026-08-30.
#
# theatreCode	displayName	venueSlug	rosterName	city	state	ianaTimezone
0252	Regal Aiken Mall	regal-aiken-mall	Regal Aiken Mall 8	Aiken	SC	US/Eastern
0939	Regal Alamo Quarry San Antonio	regal-alamo-quarry-san-antonio	Regal Alamo Quarry Stadium 1	San Antonio	TX	US/Central
0833	Regal Albany	regal-albany	Regal Albany 7 Cinemas	Albany	OR	US/Pacific
0909	Regal Alderwood Lynnwood	regal-alderwood-lynnwood	Alderwood Stadium 7 & RPX	Lynnwood	WA	US/Pacific
1933	Regal Aliante	regal-aliante	Aliante Stadium 16 & IMAX	North Las Vegas	NV	US/Pacific
0680	Regal American Mall Lima	regal-american-mall-lima	Regal American Mall Stadium 12	Lima	OH	US/Eastern
0392	Regal Arbor Place Douglasville	regal-arbor-place-douglasville	Arbor Place Stadium 18 & IMAX	Douglasville	GA	US/Eastern
1730	Regal Arnot Mall Horseheads	regal-arnot-mall-horseheads	Regal Arnot Mall 10	Horseheads	NY	US/Eastern
1812	Regal Arroyo Grande	regal-arroyo-grande	Regal Arroyo Grande Stadium 10	Arroyo Grande	CA	US/Pacific
1346	Regal Atlantic Station	regal-atlantic-station	Atlantic Sta Stm 18 IMAX & RPX	Atlanta	GA	US/Eastern
0688	Regal Atlas Park Glendale	regal-atlas-park-glendale	Regal Atlas Park Stadium 8	Glendale	NY	US/Eastern
1823	Regal Auburn California	regal-auburn-california	Regal Auburn Stadium 10	Auburn	CA	US/Pacific
0877	Regal Auburn Washington	regal-auburn-washington	Regal Auburn Stadium 17	Auburn	WA	US/Pacific
1704	Regal Augusta	regal-augusta	Regal Augusta 10	Augusta	ME	US/Eastern
0724	Regal Augusta Exchange	regal-augusta-exchange	Augusta Exchange Stm 20 & IMAX	Augusta	GA	US/Eastern
1694	Regal Avalon Alpharetta	regal-avalon-alpharetta	Regal Avalon 12	Alpharetta	GA	US/Eastern
0241	Regal Avenues Jacksonville	regal-avenues-jacksonville	Regal Avenues Stadium 20 & RPX	Jacksonville	FL	US/Eastern
1731	Regal Aviation Mall Queensbury	regal-aviation-mall-queensbury	Regal Aviation Mall 9	Queensbury	NY	US/Eastern
1850	Regal Azalea Square Summerville	regal-azalea-square-summerville	Azalea Square Stm 16 & RPX	Summerville	SC	US/Eastern
0296	Regal Ballston Quarter Arlington	regal-ballston-quarter-arlington	Regal Ballston Quarter Stm 12	Arlington	VA	US/Eastern
1671	Regal Barkley Village Bellingham	regal-barkley-village-bellingham	Barkley Vlg Stm 16 IMAX & RPX	Bellingham	WA	US/Pacific
1335	Regal Battery Park	regal-battery-park	Regal Battery Park Stadium 11	New York	NY	US/Eastern
0904	Regal Bella Bottega Redmond	regal-bella-bottega-redmond	Regal Bella Bottega Stadium 11	Redmond	WA	US/Pacific
1713	Regal Bellingham	regal-bellingham	Regal Bellingham Stadium 14	Bellingham	MA	US/Eastern
0432	Regal Belltower Fort Myers	regal-belltower-fort-myers	Regal Belltower Stadium 20	Ft Myers	FL	US/Eastern
1469	Regal Benders Landing	regal-benders-landing	Regal Benders Landing 24	Spring	TX	US/Central
1024	Regal Big Newport Beach	regal-big-newport-beach	Edwards Big Newport 6 & RPX	Newport Beach	CA	US/Pacific
1892	Regal Biltmore Grande Stadium Asheville	regal-biltmore-grande-stadium-asheville	Biltmore Grande Stm 15 & RPX	Asheville	NC	US/Eastern
1732	Regal Binghamton	regal-binghamton	Regal Binghamton Stadium 12	Binghamton	NY	US/Eastern
1842	Regal Birkdale Huntersville	regal-birkdale-huntersville	Birkdale Stadium 16 & RPX	Huntersville	NC	US/Eastern
1149	Regal Bistro at The Falls	regal-bistro-at-the-falls	Regal Bistro at The Falls	Miami	FL	US/Eastern
1787	Regal Bolingbrook	regal-bolingbrook	Regal Bolingbrook Stadium 12	Bolingbrook	IL	US/Central
0217	Regal Boone	regal-boone	Regal Boone Cinema 7	Boone	NC	US/Eastern
0837	Regal Boulder Las Vegas	regal-boulder-las-vegas	Boulder Station Stadium 11	Las Vegas	NV	US/Pacific
1525	Regal Bowling Green	regal-bowling-green	Regal Bowling Green Stadium 12	Bowling Green	KY	US/Central
0509	Regal Brandywine Town Center	regal-brandywine-town-center	Brandywine Town Center 16	Wilmington	DE	US/Eastern
1028	Regal Brea East	regal-brea-east	Edwards Brea Stadium East 12	Brea	CA	US/Pacific
1419	Regal Bricktown Charleston	regal-bricktown-charleston	Regal Bricktown Charleston 10	Staten Island	NY	US/Eastern
0652	Regal Bridgeport Village Tigard	regal-bridgeport-village-tigard	Bridgeport Stadium 18 & IMAX	Tigard	OR	US/Pacific
1843	Regal Brier Creek Raleigh	regal-brier-creek-raleigh	Regal Brier Creek Stadium 14	Raleigh	NC	US/Eastern
1762	Regal Broward Plantation	regal-broward-plantation	Broward Stadium 12 & RPX	Plantation	FL	US/Eastern
0198	Regal Burlington	regal-burlington	Regal Burlington Stadium 20	Burlington	NJ	US/Eastern
0219	Regal Butler Town Center Gainesville	regal-butler-town-center-gainesville	Regal Butler Town Center 14	Gainesville	FL	US/Eastern
0698	Regal Canyon View Grand Junction	regal-canyon-view-grand-junction	Regal Canyon View Stadium 14	Grand Junction	CO	US/Mountain
1778	Regal Carlsbad	regal-carlsbad	Regal Carlsbad 12	Carlsbad	CA	US/Pacific
1420	Regal Carrollton	regal-carrollton	Carrollton 10	Carrollton	GA	US/Eastern
0845	Regal Cascade Vancouver	regal-cascade-vancouver	Cascade Stm 16 IMAX & RPX	Vancouver	WA	US/Pacific
1416	Regal Celebration Pointe	regal-celebration-pointe	Celebration Pointe 10 & RPX	Gainesville	FL	US/Eastern
1734	Regal Champlain Cinemas Plattsburgh	regal-champlain-cinemas-plattsburgh	Champlain Centre Stadium 8	Plattsburgh	NY	US/Eastern
1423	Regal Cherokee Woodstock	regal-cherokee-woodstock	Cherokee 16	Woodstock	GA	US/Eastern
1885	Regal Cherrydale Grand Greenville	regal-cherrydale-grand-greenville	Regal Cherrydale Stadium 16	Greenville	SC	US/Eastern
0765	Regal Cielo Vista San Antonio	regal-cielo-vista-san-antonio	Cielo Vista Stadium 18 & RPX	San Antonio	TX	US/Central
1958	Regal Cinebarre Mountlake	regal-cinebarre-mountlake	Cinebarre Mountlake Terrace 8	Mountlake Terrace	WA	US/Pacific
1463	Regal Cinebarre Palace Station	regal-cinebarre-palace-station	Cinebarre Palace Station 9	Las Vegas	NV	US/Pacific
1462	Regal Cinebarre West Town Mall Knoxville	regal-cinebarre-west-town-mall-knoxville	Cinebarre West Town Mall 9	Knoxville	TN	US/Eastern
0846	Regal Cinema 99 Vancouver	regal-cinema-99-vancouver	Regal Cinema 99 Stadium 11	Vancouver	WA	US/Pacific
0120	Regal Cinema Tullahoma	regal-cinema-tullahoma	Regal Tullahoma 8	Tullahoma	TN	US/Central
0206	Regal Citrus Cinemas Inverness	regal-citrus-cinemas-inverness	Regal Citrus Cinemas 6	Inverness	FL	US/Eastern
0847	Regal City Center Vancouver	regal-city-center-vancouver	Regal City Center Stadium 12	Vancouver	WA	US/Pacific
1789	Regal City North	regal-city-north	City North Stm 14 IMAX & RPX	Chicago	IL	US/Central
1534	Regal Clarksville	regal-clarksville	Clarksville Stadium 16 & RPX	Clarksville	TN	US/Central
1769	Regal Clifton Park	regal-clifton-park	Clifton Park Stadium 10 & RPX	Clifton Park	NY	US/Eastern
0755	Regal Cobblestone Square Elyria	regal-cobblestone-square-elyria	Cobblestone Square Stm 20	Elyria	OH	US/Eastern
0169	Regal Coldwater Crossing Fort Wayne	regal-coldwater-crossing-fort-wayne	Coldwater Crossing Stadium 14	Fort Wayne	IN	US/Eastern
1923	Regal Colonie Center Albany	regal-colonie-center-albany	Colonie Center Stm 13 & RPX	Albany	NY	US/Eastern
1621	Regal Columbia Stadium	regal-columbia-stadium	Columbia Stadium 14 & RPX	Columbia	MO	US/Central
1887	Regal Columbiana Grande	regal-columbiana-grande	Columbiana Grande Stadium 14	Columbia	SC	US/Eastern
0718	Regal Columbus Virginia Beach	regal-columbus-virginia-beach	Regal Columbus Stadium 12	Virginia Beach	VA	US/Eastern
0705	Regal Commerce Center North Brunswick	regal-commerce-center-north-brunswick	Commerce Center Stm 18 & RPX	North Brunswick	NJ	US/Eastern
1864	Regal Commonwealth	regal-commonwealth	Commonwealth Stadium 20 & IMAX	Midlothian	VA	US/Eastern
1486	Regal Concourse	regal-concourse	Regal Concourse	Bronx	NY	US/Eastern
1318	Regal Cortlandt Mohegan Lake	regal-cortlandt-mohegan-lake	Cortlandt Town Center Stm 11	Mohegan Lake	NY	US/Eastern
0155	Regal Crocker Park	regal-crocker-park	Crocker Park Stadium 16 & IMAX	Westlake	OH	US/Eastern
1737	Regal Crossgates	regal-crossgates	Crossgates Stadium 18 & IMAX	Albany	NY	US/Eastern
0905	Regal Crossroads Bellevue	regal-crossroads-bellevue	Regal Crossroads Stadium 8	Bellevue	WA	US/Pacific
1874	Regal Crossroads Cary	regal-crossroads-cary	Regal Crossroads Stm 20 & IMAX	Cary	NC	US/Eastern
1426	Regal Crossroads Taylorsville	regal-crossroads-taylorsville	Regal Crossroads 14 & RPX	Taylorsville	UT	US/Mountain
0621	Regal Crystal Lake Showplace	regal-crystal-lake-showplace	Crystal Lake Showplace Stm 16	Crystal Lake	IL	US/Central
1913	Regal Culpeper Movies	regal-culpeper-movies	Regal Culpeper Stadium 4	Culpeper	VA	US/Eastern
0244	Regal Cumberland Mall Vineland	regal-cumberland-mall-vineland	Cumberland Mall Stadium 14	Vineland	NJ	US/Eastern
1474	Regal Dania Pointe	regal-dania-pointe	Regal Dania Point 4DX RPX &VIP	Dania Beach	FL	US/Eastern
1814	Regal Davis Holiday	regal-davis-holiday	Regal Davis Holiday 6	Davis	CA	US/Pacific
1422	Regal Dawsonville	regal-dawsonville	Dawson 10	Dawsonville	GA	US/Eastern
0692	Regal Deer Park	regal-deer-park	Regal Deer Park IMAX	Deer Park	NY	US/Eastern
1901	Regal Deerfield Towne Center Mason	regal-deerfield-towne-center-mason	Deerfield Twn Ctr Stm 16 & RPX	Mason	OH	US/Eastern
1413	Regal Delta Shores Sacramento	regal-delta-shores-sacramento	Delta Shores 14 & IMAX	Sacramento	CA	US/Pacific
1315	Regal Denver Pavilions	regal-denver-pavilions	Denver Pavilions Stm 15 & RPX	Denver	CO	US/Mountain
1733	Regal Destiny Mall Syracuse	regal-destiny-mall-syracuse	Destiny USA Stm 19 IMAX & RPX	Syracuse	NY	US/Eastern
1515	Regal Dickson City	regal-dickson-city	Dickson City Stadium 14 & IMAX	Dickson City	PA	US/Eastern
0922	Regal Dimond Center	regal-dimond-center	Regal Dimond Center 9 Cinemas	Anchorage	AK	US/Alaska
1828	Regal Dole Cannery	regal-dole-cannery	Dole Cannery Stm 18 IMAX & RPX	Honolulu	HI	US/Hawaii
0385	Regal Downingtown Cinema	regal-downingtown-cinema	Downingtown Stadium 16 & IMAX	Downingtown	PA	US/Eastern
0575	Regal Downtown Summerlin Las Vegas	regal-downtown-summerlin-las-vegas	Summerlin Luxury 5	Las Vegas	NV	US/Pacific
0103	Regal Downtown West Knoxville	regal-downtown-west-knoxville	Downtown West Cinema 8	Knoxville	TN	US/Eastern
1672	Regal Dulles Town Center	regal-dulles-town-center	Regal Dulles Town Center 10	Dulles	VA	US/Eastern
0466	Regal Eagle Ridge Mall	regal-eagle-ridge-mall	Regal Eagle Ridge Mall 12	Lake Wales	FL	US/Eastern
1738	Regal East Greenbush Rensselaer	regal-east-greenbush-rensselaer	Regal E. Greenbush 8	Rensselaer	NY	US/Eastern
1138	Regal East Hampton	regal-east-hampton	UA East Hampton Cinema 6	East Hampton	NY	US/Eastern
0501	Regal Eastview Victor	regal-eastview-victor	Regal Eastview Mall 13	Victor	NY	US/Eastern
0232	Regal Edgmont Square	regal-edgmont-square	Regal Edgmont Square 10	Newtown Square	PA	US/Eastern
1053	Regal Edwards Alhambra Renaissance	regal-edwards-alhambra-renaissance	Alhambra Renaissance 14 & IMAX	Alhambra	CA	US/Pacific
1032	Regal Edwards Aliso Viejo	regal-edwards-aliso-viejo	Aliso Viejo Stadium 20 & IMAX	Aliso Viejo	CA	US/Pacific
1031	Regal Edwards Bakersfield	regal-edwards-bakersfield	Edwards Bakersfield Stadium 14	Bakersfield	CA	US/Pacific
1027	Regal Edwards Boise	regal-edwards-boise	Boise Stadium 22 & IMAX	Boise	ID	US/Mountain
1009	Regal Edwards Camarillo	regal-edwards-camarillo	Camarillo Palace Stm 12 & IMAX	Camarillo	CA	US/Pacific
1047	Regal Edwards Canyon Country	regal-edwards-canyon-country	Canyon Country Stadium 10	Santa Clarita	CA	US/Pacific
1018	Regal Edwards Cerritos	regal-edwards-cerritos	Edwards Cerritos Stadium 10	Cerritos	CA	US/Pacific
0665	Regal Edwards Corona Crossings	regal-edwards-corona-crossings	Corona Crossings Stm 18 & RPX	Corona	CA	US/Pacific
1916	Regal Edwards Eastvale Gateway	regal-edwards-eastvale-gateway	Eastvale Gateway Stadium 14	Eastvale	CA	US/Pacific
1046	Regal Edwards Fairfield	regal-edwards-fairfield	Fairfield Stadium 16 & IMAX	Fairfield	CA	US/Pacific
1040	Regal Edwards Grand Teton	regal-edwards-grand-teton	Edwards Grand Teton Stadium 14	Ammon	ID	US/Mountain
1052	Regal Edwards Houston Marq'E	regal-edwards-houston-marqe	Houston Marquee Stm 23 & IMAX	Houston	TX	US/Central
1035	Regal Edwards Kaleidoscope	regal-edwards-kaleidoscope	Kaleidoscope Stadium 10	Mission Viejo	CA	US/Pacific
1042	Regal Edwards Long Beach	regal-edwards-long-beach	Long Beach Stadium 26 & IMAX	Long Beach	CA	US/Pacific
1039	Regal Edwards Nampa Spectrum	regal-edwards-nampa-spectrum	Nampa Spectrum 14	Nampa	ID	US/Mountain
