# AMC Theatres venue map — our flicks.us venue slug -> AMC's own market/theatre slugs.
# GENERATED by data/us/scripts/generate_amc_map.py from AMC's own GraphQL roster
# (viewer.theatres, 523 theatres) joined to data/us/venues.json by coordinates.
# A row exists only where the join was VERIFIED: the AMC theatre is our venue's
# nearest, and either the normalised names agree or it is within 1km with an
# agreeing ZIP. 519 of our 532 AMC venues matched; the 13 that did not are listed
# at the foot of this file and stay on the flicks.us aggregator.
#
# flicksSlug	amcMarketSlug	amcTheatreSlug	theatreId	ourTitle	amcName	rule	km
amc-perry-crossing-18-plainfield	indianapolis	amc-perry-crossing-18	4259	AMC Perry Crossing 18 Plainfield	AMC Perry Crossing 18	geo<=1km+zip	0.02
amc-peru-mall-8	chicago	amc-peru-mall-8	4248	AMC Peru Mall 8	AMC Peru Mall 8	name+geo	0.3
amc-phipps-plaza-14-atlanta	atlanta	amc-phipps-plaza-14	410	AMC Phipps Plaza 14 Atlanta	AMC Phipps Plaza 14	geo<=1km+zip	0.04
amc-plainville-20	plainville	amc-plainville-20	2628	AMC Plainville 20	AMC Plainville 20	name+geo	0.01
amc-plaza-bonita-14	san-diego	amc-plaza-bonita-14	429	AMC Plaza Bonita 14	AMC Plaza Bonita 14	name+geo	0.14
amc-plymouth-meeting-mall-12	philadelphia	amc-plymouth-meeting-mall-12	871	AMC Plymouth Meeting Mall 12	AMC Plymouth Meeting Mall 12	name+geo	0.26
amc-pompano-beach-18	miami-ft-lauderdale	amc-pompano-beach-18	4182	AMC Pompano Beach 18	AMC Pompano Beach 18	name+geo	0.05
amc-port-chester-14	port-chester	amc-port-chester-14	2680	AMC Port Chester 14	AMC Port Chester 14	name+geo	0.08
amc-port-st-lucie-14	west-palm-beach	amc-port-st-lucie-14	4183	AMC Port St Lucie 14	AMC Port St Lucie 14	name+geo	0.05
amc-porter-ranch-9	los-angeles	amc-porter-ranch-9	201	AMC Porter Ranch 9	AMC Porter Ranch 9	name+geo	0.23
amc-potomac-mills-18	washington-d-c	amc-potomac-mills-18	364	AMC Potomac Mills 18	AMC Potomac Mills 18	name+geo	0.15
amc-progress-ridge-13	seattle-tacoma	amc-progress-ridge-13	613	AMC Progress Ridge 13	AMC Progress Ridge 13	name+geo	0.03
amc-provo-8	salt-lake-city	amc-provo-8	4500	AMC Provo 8	AMC Provo 8	name+geo	0.06
amc-puente-hills-20	los-angeles	amc-puente-hills-20	249	AMC Puente Hills 20	AMC Puente Hills 20	name+geo	0.19
amc-quail-springs-mall-24	oklahoma-city	amc-quail-springs-mall-24	144	AMC Quail Springs Mall 24	AMC Quail Springs Mall 24	name+geo	0.29
amc-quarry-cinemas-14	chicago	amc-quarry-cinemas-14	2571	AMC Quarry Cinemas 14	AMC Quarry Cinemas 14	name+geo	0.05
amc-raceway-10	new-york-city	amc-raceway-10	2146	AMC Raceway 10	AMC Raceway 10	name+geo	0.03
amc-rainbow-promenade-10	las-vegas	amc-rainbow-promenade-10	419	AMC Rainbow Promenade 10	AMC Rainbow Promenade 10	name+geo	0.12
amc-randhurst-mount-prospect-12	chicago	amc-randhurst-12	130	AMC Randhurst Mount Prospect 12	AMC Randhurst 12	geo<=1km+zip	0.24
amc-regency-24-jacksonville	jacksonville	amc-regency-24	309	AMC Regency 24 Jacksonville	AMC Regency 24	geo<=1km+zip	0.14
amc-ridge-park-square-8	cleveland	amc-ridge-park-square-8	835	AMC Ridge Park Square 8	AMC Ridge Park Square 8	name+geo	0.09
amc-ridgefield-park-12	ridgefield-park	amc-ridgefield-park-12	739	AMC Ridgefield Park 12	AMC Ridgefield Park 12	name+geo	0.07
amc-rio-18	washington-d-c	amc-rio-cinemas-18	2777	AMC Rio 18	AMC Rio Cinemas 18	geo<=1km+zip	0.04
amc-river-east-chicago-21	chicago	amc-river-east-21	133	AMC River East Chicago 21	AMC River East 21	geo<=1km+zip	0.04
amc-river-hills-10	greenville-nc	amc-river-hills-10	4300	AMC River Hills 10	AMC River Hills 10	name+geo	0.03
amc-river-park-sq-20-spokane	spokane	amc-river-park-square-20	603	AMC River Park Sq 20 Spokane	AMC River Park Square 20	geo<=1km+zip	0.02
amc-rivercenter-11-san-antonio	san-antonio	amc-rivercenter-11-with-alamo-imax	5265	AMC Rivercenter 11 San Antonio	AMC Rivercenter 11	geo<=1km+zip	0.08
amc-rivertowne-12	washington-d-c	amc-rivertowne-12	339	AMC Rivertowne 12	AMC Rivertowne 12	name+geo	0.92
amc-riverview-14-gibsonton	tampa-st-petersburg	amc-riverview-14	295	AMC Riverview 14 Gibsonton	AMC Riverview 14	geo<=1km+zip	0.09
amc-robinson-crossing-6	oklahoma-city	amc-robinson-crossing-6	142	AMC Robinson Crossing 6	AMC Robinson Crossing 6	name+geo	0.18
amc-rockaway-16	rockaway	amc-rockaway-16	2248	AMC Rockaway 16	AMC Rockaway 16	name+geo	1.08
amc-rockford-16	rockford	amc-rockford-16	6831	AMC Rockford 16	AMC Rockford 16	name+geo	0.2
amc-rolling-hills-20-torrance	los-angeles	amc-rolling-hills-20	242	AMC Rolling Hills 20 Torrance	AMC Rolling Hills 20	geo<=1km+zip	0.1
amc-roosevelt-collection-16	chicago	amc-roosevelt-collection-16	476	AMC Roosevelt Collection 16	AMC Roosevelt Collection 16	name+geo	0.0
amc-roosevelt-field-8	new-york-city	amc-roosevelt-field-8	2144	AMC Roosevelt Field 8	AMC Roosevelt Field 8	name+geo	0.18
amc-rosedale-14	minneapolis-st-paul	amc-rosedale-14	651	AMC Rosedale 14	AMC Rosedale 14	name+geo	0.0
amc-rosemont-12	chicago	amc-dine-in-rosemont-12	4249	AMC Rosemont 12	AMC DINE-IN Rosemont 12	name+geo	0.02
amc-royale-6	new-york-city	amc-royale-6	628	AMC Royale 6	AMC Royale 6	name+geo	0.05
amc-santa-anita-16	los-angeles	amc-santa-anita-16	206	AMC Santa Anita 16	AMC Santa Anita 16	name+geo	0.26
amc-santa-monica-7	los-angeles	amc-santa-monica-7	203	AMC Santa Monica 7	AMC Santa Monica 7	name+geo	0.02
amc-saratoga-14	san-jose	amc-saratoga-14	433	AMC Saratoga 14	AMC Saratoga 14	name+geo	0.0
amc-saratoga-springs-11	saratoga-springs	amc-saratoga-springs-11	623	AMC Saratoga Springs 11	AMC Saratoga Springs 11	name+geo	0.04
amc-schererville-12	gary	amc-schererville-12	6872	AMC Schererville 12	AMC Schererville 12	name+geo	1.35
amc-schererville-16	gary	amc-schererville-16	6871	AMC Schererville 16	AMC Schererville 16	name+geo	0.15
amc-security-square-8-baltimore	baltimore	amc-security-square-8	805	AMC Security Square 8 Baltimore	AMC Security Square 8	geo<=1km+zip	0.29
amc-shawnee-cinema-8	oklahoma-city	cinema-centre-8	4388	AMC Shawnee Cinema 8	Cinema Centre 8	geo<=300m	0.01
amc-shirlington-7	washington-d-c	amc-shirlington-7	2798	AMC Shirlington 7	AMC Shirlington 7	name+geo	0.01
amc-shops-at-riverside-9	hackensack	amc-dine-in-shops-at-riverside-9	557	AMC Shops at Riverside 9	AMC DINE-IN Shops at Riverside 9	name+geo	0.0
amc-shore-8-huntington	new-york-city	amc-shore-8	2162	AMC Shore 8 Huntington	AMC Shore 8	geo<=1km+zip	0.0
amc-sikes-senter-10	wichita-falls-tx	amc-sikes-senter-10	4491	AMC Sikes Senter 10	AMC Sikes Senter 10	name+geo	0.05
amc-sono-8	new-york-city	amc-sono-8	630	AMC SoNo 8	AMC SoNo8	name+geo	0.06
amc-south-barrington-24	chicago	amc-south-barrington-24	471	AMC South Barrington 24	AMC South Barrington 24	name+geo	0.07
amc-south-bay-center-12	boston	amc-south-bay-center-12	505	AMC South Bay Center 12	AMC South Bay Center 12	name+geo	0.08
amc-south-bay-galleria-16	los-angeles	amc-south-bay-galleria-16	850	AMC South Bay Galleria 16	AMC South Bay Galleria 16	name+geo	0.44
amc-south-bend-16	south-bend	amc-classic-south-bend-16	6881	AMC South Bend 16	AMC CLASSIC South Bend 16	name+geo	0.02
amc-south-hills-village-10-pittsburgh	pittsburgh	amc-classic-south-hills-village-10	4413	AMC South Hills Village 10 Pittsburgh	AMC CLASSIC South Hills Village 10	geo<=1km+zip	0.04
amc-southdale-16-edina	minneapolis-st-paul	amc-southdale-16	705	AMC Southdale 16 Edina	AMC Southdale 16	geo<=1km+zip	0.13
amc-southern-hills-12	sioux-city-ia	amc-southern-hills-12	4234	AMC Southern Hills 12	AMC Southern Hills 12	name+geo	0.28
amc-southington-12	plainville	amc-southington-12	731	AMC Southington 12	AMC Southington 12	name+geo	0.05
amc-southlake-24	atlanta	amc-southlake-24	416	AMC Southlake 24	AMC Southlake 24	name+geo	0.06
amc-southlands-16-aurora	denver	amc-southlands-16	6053	AMC Southlands 16 Aurora	AMC Southlands 16	geo<=1km+zip	0.0
amc-southpoint-17	raleigh-durham	amc-southpoint-17	465	AMC Southpoint 17	AMC Southpoint 17	name+geo	0.08
amc-southroads-20-tulsa	tulsa	amc-southroads-20	143	AMC Southroads 20 Tulsa	AMC Southroads 20	geo<=1km+zip	0.33
amc-spring-10	houston	amc-spring-10	2426	AMC Spring 10	AMC Spring 10	name+geo	0.07
amc-springfield-11	springfield-mo	amc-springfield-11	736	AMC Springfield 11	AMC Springfield 11	name+geo	0.03
amc-springfield-12	springfield-il	amc-springfield-12	6906	AMC Springfield 12	AMC Springfield 12	name+geo	0.04
amc-springfield-8	springfield-il	amc-springfield-8	6914	AMC Springfield 8	AMC Springfield 8	name+geo	0.04
amc-st-charles-waldorf-9	washington-d-c	amc-st-charles-town-center-9	2794	AMC St. Charles Waldorf 9	AMC St. Charles Town Ctr 9	geo<=1km+zip	0.98
amc-star-gratiot-15	detroit	amc-star-gratiot-15	2905	AMC Star Gratiot 15	AMC Star Gratiot 15	name+geo	0.2
amc-star-great-lakes-25	detroit	amc-star-great-lakes-25	2911	AMC Star Great Lakes 25	AMC Star Great Lakes 25	name+geo	1.03
amc-staten-island-mall-11	new-york-city	amc-staten-island-11	558	AMC Staten Island Mall 11	AMC Staten Island 11	geo<=1km+zip	0.25
amc-stillwater-10	oklahoma-city	amc-stillwater-10	4387	AMC Stillwater 10	AMC Stillwater 10	name+geo	0.03
amc-stone-river-9	nashville-tn	amc-stones-river-9	4473	AMC Stone River 9	AMC Stones River 9	geo<=1km+zip	0.0
amc-stony-brook-17	new-york-city	amc-stony-brook-17	2140	AMC Stony Brook 17	AMC Stony Brook 17	name+geo	0.04
amc-stonybrook-20-louisville	louisville-ky	amc-stonybrook-20	4266	AMC Stonybrook 20 Louisville	AMC Stonybrook 20	geo<=1km+zip	0.04
amc-streets-of-st-charles-8	st-louis	amc-streets-of-st-charles-8	24	AMC Streets of St. Charles 8	AMC Streets Of St Charles 8	name+geo	0.0
amc-streets-of-woodfield-20	chicago	amc-streets-of-woodfield-20	2591	AMC Streets Of Woodfield 20	AMC Streets of Woodfield 20	name+geo	0.06
amc-sugarloaf-mills-18	atlanta	amc-sugarloaf-mills-18	403	AMC Sugarloaf Mills 18	AMC Sugarloaf Mills 18	name+geo	0.11
amc-summit-16	birmingham-al	amc-summit-16	4101	AMC Summit 16	AMC Summit 16	name+geo	0.27
amc-sundial-12	tampa-st-petersburg	amc-sundial-12	4186	AMC Sundial 12	AMC Sundial 12	name+geo	0.04
amc-sunrise-8	miami-ft-lauderdale	amc-sunrise-8	583	AMC Sunrise 8	AMC Sunrise 8	name+geo	0.07
amc-sunset-place-24	miami-ft-lauderdale	amc-sunset-place-24	288	AMC Sunset Place 24	AMC Sunset Place 24	name+geo	0.1
amc-superstition-east-12	phoenix	amc-superstition-east-12	101	AMC Superstition East 12	AMC Superstition East 12	name+geo	0.01
amc-surprise-pointe-14	phoenix	amc-surprise-pointe-14	4130	AMC Surprise Pointe 14	AMC Surprise Pointe 14	name+geo	0.34
amc-tallahassee-20	tallahassee	amc-tallahassee-20	581	AMC Tallahassee 20	AMC Tallahassee 20	name+geo	0.55
amc-tamiami-14	miami-ft-lauderdale	amc-tamiami-18	278	AMC Tamiami 14	AMC Tamiami 18	geo<=1km+zip	0.12
amc-temecula-10	los-angeles	amc-temecula-10	4146	AMC Temecula 10	AMC Temecula 10	name+geo	0.04
amc-the-grove-14	los-angeles	amc-the-grove-14	450	AMC The Grove 14	AMC The Grove 14	name+geo	0.24
amc-the-parks-at-arlington-18	dallas-ft-worth	amc-the-parks-at-arlington-18	158	AMC The Parks at Arlington 18	AMC The Parks At Arlington 18	name+geo	0.67
amc-the-regency-20-brandon	tampa-st-petersburg	amc-the-regency-20	282	AMC The Regency 20 Brandon	AMC The Regency 20	geo<=1km+zip	0.04
amc-tilghman-square-8	allentown	amc-tilghman-square-8	594	AMC Tilghman Square 8	AMC Tilghman Square 8	name+geo	0.01
amc-town-center-20	kansas-city	amc-town-center-20	38	AMC Town Center 20	AMC Town Center 20	name+geo	0.02
amc-town-square-18	las-vegas	amc-town-square-18	470	AMC Town Square 18	AMC Town Square 18	name+geo	0.05
amc-traders-point-12	indianapolis	amc-traders-point-12	6384	AMC Traders Point 12	AMC Traders Point 12	name+geo	0.04
amc-tustin-14-at-the-district	los-angeles	amc-tustin-14-at-the-district	427	AMC Tustin 14 at The District	AMC Tustin 14 @ The District	geo<=1km+zip	0.23
amc-tyler-galleria-16	los-angeles	amc-tyler-galleria-16	422	AMC Tyler Galleria 16	AMC Tyler Galleria 16	name+geo	0.07
amc-tyngsboro-12	boston	amc-tyngsboro-12	812	AMC Tyngsboro 12	AMC Tyngsboro 12	name+geo	0.14
amc-tysons-corner-16	washington-d-c	amc-tysons-corner-16	366	AMC Tysons Corner 16	AMC Tysons Corner 16	name+geo	0.3
amc-university-place-8	carbondale	amc-university-place-8	6121	AMC University Place 8	AMC University Place 8	name+geo	0.03
amc-utc-14	san-diego	amc-utc-14	455	AMC UTC 14	AMC UTC 14	name+geo	0.04
amc-valley-bend-18	huntsville-al	amc-valley-bend-18	4112	AMC Valley Bend 18	AMC Valley Bend 18	name+geo	7.4
amc-vancouver-mall-23	seattle-tacoma	amc-vancouver-mall-23	614	AMC Vancouver Mall 23	AMC Vancouver Mall 23	name+geo	0.04
amc-vestal-town-square-9	binghamton	amc-vestal-town-square-9	2708	AMC Vestal Town Square 9	AMC Vestal Town Square 9	name+geo	0.02
amc-veterans-24	tampa-st-petersburg	amc-veterans-24	273	AMC Veterans 24	AMC Veterans 24	name+geo	0.05
amc-victoria-gardens-12	los-angeles	amc-victoria-gardens-12	237	AMC Victoria Gardens 12	AMC Victoria Gardens 12	name+geo	0.01
amc-village-7	new-york-city	amc-village-7	2110	AMC Village 7	AMC Village 7	name+geo	0.03
amc-village-crossing-18	chicago	amc-village-crossing-18	6878	AMC Village Crossing 18	AMC Village Crossing 18	name+geo	0.01
amc-village-on-the-parkway-9	dallas-ft-worth	amc-village-on-the-parkway-9	164	AMC Village On The Parkway 9	AMC Village On The Parkway 9	name+geo	0.16
amc-voorhees-16	philadelphia	amc-voorhees-16	4343	AMC Voorhees 16	AMC Voorhees 16	name+geo	0.05
amc-ward-parkway-14	kansas-city	amc-ward-parkway-14	25	AMC Ward Parkway 14	AMC Ward Parkway 14	name+geo	0.39
amc-washington-square-12	indianapolis	amc-washington-square-12	6383	AMC Washington Square 12	AMC Washington Square 12	name+geo	0.38
amc-waterfront-22	pittsburgh	amc-waterfront-22	2587	AMC Waterfront 22	AMC Waterfront 22	name+geo	0.06
amc-wayne-12	wayne	amc-wayne-14	2176	AMC Wayne 12	AMC Wayne 14	geo<=1km+zip	0.0
amc-webster-12	rochester	amc-webster-12	2495	AMC Webster 12	AMC Webster 12	name+geo	0.02
amc-west-chester-18	cincinnati	amc-west-chester-18	467	AMC West Chester 18	AMC West Chester 18	name+geo	0.06
amc-west-end-pointe-8	oklahoma-city	amc-west-end-pointe-8	743	AMC West End Pointe 8	AMC West End Pointe 8	name+geo	0.12
amc-west-jordan-12	salt-lake-city	amc-west-jordan-12	59	AMC West Jordan 12	AMC West Jordan 12	name+geo	0.0
amc-west-oaks-14	orlando-daytona-beach	amc-west-oaks-14	582	AMC West Oaks 14	AMC West Oaks 14	name+geo	0.05
amc-west-shore-14	tampa-st-petersburg	amc-west-shore-14	701	AMC West Shore 14	AMC West Shore 14	name+geo	0.24
amc-westbank-palace-16	new-orleans	amc-westbank-palace-16	485	AMC Westbank Palace 16	AMC Westbank Palace 16	name+geo	0.03
amc-westgate-20	phoenix	amc-westgate-20	2679	AMC Westgate 20	AMC Westgate 20	name+geo	0.04
amc-westminster-promenade-24	denver	amc-westminster-promenade-24	92	AMC Westminster Promenade 24	AMC Westminster Promenade 24	name+geo	0.15
amc-weston-8	miami-ft-lauderdale	amc-weston-8	575	AMC Weston 8	AMC Weston 8	name+geo	0.0
amc-westwood-town-center-6	cleveland	amc-westwood-town-center-6	839	AMC Westwood Town Center 6	AMC Westwood Town Center 6	name+geo	0.08
amc-wheaton-mall-9	washington-d-c	amc-wheaton-mall-9	368	AMC Wheaton Mall 9	AMC Wheaton Mall 9	name+geo	0.32
amc-white-marsh-16	baltimore	amc-white-marsh-16	2817	AMC White Marsh 16	AMC White Marsh 16	name+geo	0.02
amc-willowbrook-houston-24	houston	amc-willowbrook-24	162	AMC Willowbrook Houston 24	AMC Willowbrook 24	geo<=1km+zip	0.0
amc-woodbridge-irvine-5	los-angeles	amc-woodbridge-5	760	AMC Woodbridge Irvine 5	AMC Woodbridge 5	geo<=1km+zip	0.07
amc-woodhaven-10	philadelphia	amc-woodhaven-10	564	AMC Woodhaven 10	AMC Woodhaven 10	name+geo	0.21
amc-woodinville-12	seattle-tacoma	amc-woodinville-12	2449	AMC Woodinville 12	AMC Woodinville 12	name+geo	0.11
amc-woodlands-square-20	tampa-st-petersburg	amc-woodlands-square-20	700	AMC Woodlands Square 20	AMC Woodlands Square 20	name+geo	0.08
amc-worldgate-9-herndon	washington-d-c	amc-worldgate-9	367	AMC Worldgate 9 Herndon	AMC Worldgate 9	geo<=1km+zip	0.08
#
# UNMATCHED (13) — not on AMC's current roster; left on flicks.us:
#   amc-barton-creek-mall-austin	AMC Barton Creek Mall Austin	Austin, Texas
#   amc-pembroke-lake-9	AMC Pembroke Lake 9	Pembroke Pines, Florida
#   amc-marlton-cinemas-8	AMC Marlton Cinemas 8	Marlton, New Jersey
#   amc-southcenter-16-tukwila	AMC Southcenter 16 Tukwila	Tukwila, Washington
#   amc-classic-auburn-14	AMC CLASSIC Auburn 14	Auburn, Alabama
#   amc-classic-columbus-12	AMC CLASSIC Columbus 12	Columbus, Indiana
#   amc-classic-illinois-centre-8	AMC CLASSIC Illinois Centre 8	Marion, Illinois
#   amc-classic-farmington-4	AMC CLASSIC Farmington 4	Farmington, Missouri
#   amc-classic-milledgeville-6	AMC CLASSIC Milledgeville 6	Milledgeville, Georgia
#   amc-classic-mount-vernon-8	AMC CLASSIC Mount Vernon 8	Mount Vernon, Illinois
#   amc-classic-salem-valley-8	AMC CLASSIC Salem Valley 8	Salem, Virginia
#   amc-classic-salina-10	AMC CLASSIC Salina 10	Salina, Kansas
#   amc-classic-wilson-10	AMC CLASSIC Wilson 10	Wilson, North Carolina
